CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.01,Receita de Venda de Bens e/ou Serviços,1813078.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.01.01,Softwares,1813078.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.01.02,Serviços de Produtos de Crédito,0.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.02,Custo dos Bens e/ou Serviços Vendidos,-546798.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.02.01,Custo de Softwares,-546798.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.02.02,Custo de Produtos de crédito,0.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.03,Resultado Bruto,1266280.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04,Despesas/Receitas Operacionais,-959812.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.01,Despesas com Vendas,-385613.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.02,Despesas Gerais e Administrativas,-220783.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.04,Outras Receitas Operacionais,0.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.05,Outras Despesas Operacionais,-353423.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.05.01,Pesquisa e Desenvolvimento,-345702.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.05.02,Depreciação e Amortização,0.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.05.03,Provisão para perda esperada,0.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.05.04,Outras Receitas Op. Líq.,-7721.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.04.06,Resultado de Equivalência Patrimonial,7.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,306468.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.06,Resultado Financeiro,12779.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.06.01,Receitas Financeiras,176544.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.06.02,Despesas Financeiras,-163765.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.07,Resultado Antes dos Tributos sobre o Lucro,319247.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-93863.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.08.01,Corrente,-85226.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.08.02,Diferido,-8637.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.09,Resultado Líquido das Operações Continuadas,225384.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.10,Resultado Líquido de Operações Descontinuadas,-11266.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,-11266.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.10.01.01,Prejuízo da Dimensão Techfin,-11266.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.11,Lucro/Prejuízo Consolidado do Período,214118.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.11.01,Atribuído a Sócios da Empresa Controladora,201848.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.11.02,Atribuído a Sócios Não Controladores,12270.0000000000,S,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.99,Lucro por Ação - (Reais / Ação),0.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.99.01,Lucro Básico por Ação,0.0000000000,N,53113791000122,2022-06-30,1
53.113.791/0001-22,2022-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-06-30,3.99.01.01,ON,0.3320500000,N,53113791000122,2022-06-30,1
