CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01,Receita de Venda de Bens e/ou Serviços,3792932.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.01,Softwares,3792932.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.02,Produtos de crédito,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-1145269.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.02.01,Custo de Softwares,-1145269.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.02.02,Custo de produtos de crédito,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.03,Resultado Bruto,2647663.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04,Despesas/Receitas Operacionais,-2006588.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.01,Despesas com Vendas,-799504.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.02,Despesas Gerais e Administrativas,-474658.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.04,Outras Receitas Operacionais,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.05,Outras Despesas Operacionais,-731984.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.05.01,Pesquisa e Desenvolvimento,-719806.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.05.02,Depreciação e Amortização,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.05.04,Outras Receitas/ Despesas Op. Líq.,-12178.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.04.06,Resultado de Equivalência Patrimonial,-442.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,641075.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.06,Resultado Financeiro,20520.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.06.01,Receitas Financeiras,362012.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.06.02,Despesas Financeiras,-341492.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.07,Resultado Antes dos Tributos sobre o Lucro,661595.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-141204.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.08.01,Corrente,-153567.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.08.02,Diferido,12363.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.09,Resultado Líquido das Operações Continuadas,520391.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.10,Resultado Líquido de Operações Descontinuadas,2910.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,2910.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.10.01.01,Lucro/Prejuízo Líquido da Dimensão de Techfin,2910.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.10.01.02,Lucro/Prejuízo Líquido da Operação de Hardware,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.11,Lucro/Prejuízo Consolidado do Período,523301.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.11.01,Atribuído a Sócios da Empresa Controladora,498136.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.11.02,Atribuído a Sócios Não Controladores,25165.0000000000,S,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.99,Lucro por Ação - (Reais / Ação),0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.99.01,Lucro Básico por Ação,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.99.01.01,ON,0.8209200000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.99.02,Lucro Diluído por Ação,0.0000000000,N,53113791000122,2022-12-31,1
53.113.791/0001-22,2022-12-31,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.99.02.01,ON,0.8091600000,N,53113791000122,2022-12-31,1
