CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2,Passivo Total,12656646.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01,Passivo Circulante,2165654.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.01,Obrigações Sociais e Trabalhistas,99804.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.01.01,Obrigações Sociais,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.01.02,Obrigações Trabalhistas,99804.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.02,Fornecedores,324940.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.02.01,Fornecedores Nacionais,324940.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.02.02,Fornecedores Estrangeiros,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03,Obrigações Fiscais,157032.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03.01,Obrigações Fiscais Federais,157032.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,58744.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03.01.02,Obrigações Fiscais Federais,98288.0000000000,N,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03.01.03,Parcelamento de Tributos,0.0000000000,N,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03.02,Obrigações Fiscais Estaduais,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.03.03,Obrigações Fiscais Municipais,0.0000000000,S,07594978000178,2023-06-30,1
07.594.978/0001-78,2023-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2023-06-30,2.01.04,Empréstimos e Financiamentos,635966.0000000000,S,07594978000178,2023-06-30,1
