CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.01,Receita de Venda de Bens e/ou Serviços,4244743.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-2533854.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.03,Resultado Bruto,1710889.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04,Despesas/Receitas Operacionais,-666015.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04.01,Despesas com Vendas,-344782.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04.02,Despesas Gerais e Administrativas,-468361.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04.04,Outras Receitas Operacionais,0.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04.05,Outras Despesas Operacionais,148217.0000000000,S,07594978000178,2023-12-31,1
07.594.978/0001-78,2023-12-31,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2023-01-01,2023-12-31,3.04.06,Resultado de Equivalência Patrimonial,-1089.0000000000,S,07594978000178,2023-12-31,1
