CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.01,Receita de Venda de Bens e/ou Serviços,2617572.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.02,Custo dos Bens e/ou Serviços Vendidos,-1538734.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.03,Resultado Bruto,1078838.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04,Despesas/Receitas Operacionais,-491898.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04.01,Despesas com Vendas,-209780.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04.02,Despesas Gerais e Administrativas,-268054.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04.04,Outras Receitas Operacionais,0.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04.05,Outras Despesas Operacionais,-12448.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.04.06,Resultado de Equivalência Patrimonial,-1616.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,586940.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.06,Resultado Financeiro,-358977.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.06.01,Receitas Financeiras,154987.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.06.02,Despesas Financeiras,-513964.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.07,Resultado Antes dos Tributos sobre o Lucro,227963.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-39077.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.08.01,Corrente,-82596.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.08.02,Diferido,43519.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.09,Resultado Líquido das Operações Continuadas,188886.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.10,Resultado Líquido de Operações Descontinuadas,0.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0000000000,S,07594978000178,2024-06-30,1
07.594.978/0001-78,2024-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-06-30,3.11,Lucro/Prejuízo Consolidado do Período,188886.0000000000,S,07594978000178,2024-06-30,1
