data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2022-01-17,594110976,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-01-18,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-08,598931968,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-09,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-11,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-17,587531008,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-18,590465024,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-19,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-26,589728000,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-02-28,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-03-07,591508992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-03-08,592478976,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-03-09,588115008,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-03-12,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-04-14,587153984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-04-15,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-04-27,596092032,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-04-28,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-05-31,608305024,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-06-01,599537984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-06-02,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-06-14,633600000,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-06-15,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-08-23,600012992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-08-24,600012992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-09-14,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-10-04,552784000,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-10-05,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-11-12,587755008,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-11-14,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-11-25,587755008,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-11-27,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-12-30,589692992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2022-12-31,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-02-08,588848000,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-02-09,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-02-18,588694976,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-02-21,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-01,586996992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-02,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-05,589038016,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-08,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-18,596209024,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-20,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-23,615092992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-24,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-29,595430016,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-30,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-03-31,601670016,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-02,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-04,593358976,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-05,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-19,587443008,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-20,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-21,606296000,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-04-22,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-06-02,602244992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-06-04,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-06-13,589352000,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-06-15,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-07-12,586508992,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-07-15,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-07-20,589454976,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
2023-07-21,586241984,smartfit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,Consumo Cíclico / Academias
