data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2022-02-03,613590976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-04,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-07,608720000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-08,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-11,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-18,611097984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-19,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-24,609756992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-25,613265984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-02-26,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-05,636627008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-06,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-07,618164992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-08,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-09,612139008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-12,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-16,615267968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-03-18,615267968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-04-15,633790976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-04-21,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-05-17,615993984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-05-18,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-07-13,617062016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-07-15,608078016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-07-20,605732992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-08-14,605734976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-08-16,605734976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-09,593518976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-09,605734976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-10,595384000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-12,605734976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-13,605736000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-13,600806976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-09-14,605736000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-11-12,605929984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-11-16,605736000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-11-23,610499008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2022-11-24,605736000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-04,621827968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-05,605736000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-06,611590976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2023-01-13,605747008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
